"Step","quadruped_jump_pixel_finetune_1024 - global_step","quadruped_jump_pixel_finetune_1024 - global_step__MIN","quadruped_jump_pixel_finetune_1024 - global_step__MAX"
"0","0","0","0"
"1","5000","5000","5000"
"2","8000","8000","8000"
"3","12000","12000","12000"
"4","15000","15000","15000"
"5","16000","16000","16000"
"6","20000","20000","20000"
"7","24000","24000","24000"
"8","25000","25000","25000"
"9","28000","28000","28000"
"10","32000","32000","32000"
"11","35000","35000","35000"
"12","36000","36000","36000"
"13","40000","40000","40000"
"14","44000","44000","44000"
"15","45000","45000","45000"
"16","48000","48000","48000"
"17","52000","52000","52000"
"18","55000","55000","55000"
"19","56000","56000","56000"
"20","60000","60000","60000"
"21","64000","64000","64000"
"22","65000","65000","65000"
"23","68000","68000","68000"
"24","72000","72000","72000"
"25","75000","75000","75000"
"26","76000","76000","76000"
"27","80000","80000","80000"
